,Home team,Away team,Home goals,Away goals,Stage,date,Match winner
0,FC Santa Coloma,Drita KF Gjilan,0,2,Preliminary Semi Finals,2018-06-26,Drita KF Gjilan
1,SP La Fiorita,Lincoln Red Imps FC,0,2,Preliminary Semi Finals,2018-06-26,Lincoln Red Imps FC
2,Lincoln Red Imps FC,Drita KF Gjilan,1,4,Preliminary Final,2018-06-29,Drita KF Gjilan
3,FC Torpedo Kutaisi,FC Sheriff Tiraspol,2,1,1St Qualifying Round,2018-07-10,FC Torpedo Kutaisi
4,FC Flora,Hapoel Be'er Sheva FC,1,4,1St Qualifying Round,2018-07-10,Hapoel Be'er Sheva FC
5,F91 Diddeleng,MOL Fehérvár FC,1,1,1St Qualifying Round,2018-07-10,Draw
6,FC Alashkert,Celtic FC,0,3,1St Qualifying Round,2018-07-10,Celtic FC
7,Víkingur Gøta,Helsingin JK,1,2,1St Qualifying Round,2018-07-10,Helsingin JK
8,KF Shkëndija 79,The New Saints FC,5,0,1St Qualifying Round,2018-07-10,KF Shkëndija 79
9,Drita KF Gjilan,Malmö FF,0,3,1St Qualifying Round,2018-07-10,Malmö FF
10,Cork City FC,Legia Warszawa,0,1,1St Qualifying Round,2018-07-10,Legia Warszawa
11,Astana FK,FK Sutjeska Nikšić,1,0,1St Qualifying Round,2018-07-11,Astana FK
12,FK Sūduva Marijampolė,APOEL FC,3,1,1St Qualifying Round,2018-07-11,FK Sūduva Marijampolė
13,FK Spartaks Jūrmala,FK Crvena Zvezda,0,0,1St Qualifying Round,2018-07-11,Draw
14,FC Spartak Trnava,HŠK Zrinjski Mostar,1,0,1St Qualifying Round,2018-07-11,FC Spartak Trnava
15,PFK Ludogorets 1945 Razgrad,Crusaders FC,7,0,1St Qualifying Round,2018-07-11,PFK Ludogorets 1945 Razgrad
16,FK Kukësi,Valletta FC,0,0,1St Qualifying Round,2018-07-11,Draw
17,NK Olimpija Ljubljana,Qarabağ Ağdam FK,0,1,1St Qualifying Round,2018-07-11,Qarabağ Ağdam FK
18,KF Valur,Rosenborg BK,1,0,1St Qualifying Round,2018-07-11,KF Valur
19,Helsingin JK,Víkingur Gøta,3,1,1St Qualifying Round,2018-07-17,Helsingin JK
20,Valletta FC,FK Kukësi,1,1,1St Qualifying Round,2018-07-17,Draw
21,APOEL FC,FK Sūduva Marijampolė,1,0,1St Qualifying Round,2018-07-17,APOEL FC
22,Malmö FF,Drita KF Gjilan,2,0,1St Qualifying Round,2018-07-17,Malmö FF
23,Hapoel Be'er Sheva FC,FC Flora,3,1,1St Qualifying Round,2018-07-17,Hapoel Be'er Sheva FC
24,The New Saints FC,KF Shkëndija 79,4,0,1St Qualifying Round,2018-07-17,The New Saints FC
25,MOL Fehérvár FC,F91 Diddeleng,2,1,1St Qualifying Round,2018-07-17,MOL Fehérvár FC
26,FK Crvena Zvezda,FK Spartaks Jūrmala,2,0,1St Qualifying Round,2018-07-17,FK Crvena Zvezda
27,Crusaders FC,PFK Ludogorets 1945 Razgrad,0,2,1St Qualifying Round,2018-07-17,PFK Ludogorets 1945 Razgrad
28,Legia Warszawa,Cork City FC,3,0,1St Qualifying Round,2018-07-17,Legia Warszawa
29,FC Sheriff Tiraspol,FC Torpedo Kutaisi,3,0,1St Qualifying Round,2018-07-18,FC Sheriff Tiraspol
30,Qarabağ Ağdam FK,NK Olimpija Ljubljana,0,0,1St Qualifying Round,2018-07-18,Draw
31,HŠK Zrinjski Mostar,FC Spartak Trnava,1,1,1St Qualifying Round,2018-07-18,Draw
32,Rosenborg BK,KF Valur,3,1,1St Qualifying Round,2018-07-18,Rosenborg BK
33,FK Sutjeska Nikšić,Astana FK,0,2,1St Qualifying Round,2018-07-18,Astana FK
34,Celtic FC,FC Alashkert,3,0,1St Qualifying Round,2018-07-18,Celtic FC
35,Astana FK,FC Midtjylland,2,1,2Nd Qualifying Round,2018-07-24,Astana FK
36,FC CFR 1907 Cluj,Malmö FF,0,1,2Nd Qualifying Round,2018-07-24,Malmö FF
37,PAOK FC,FC Basel 1893,2,1,2Nd Qualifying Round,2018-07-24,PAOK FC
38,GNK Dinamo Zagreb,Hapoel Be'er Sheva FC,5,0,2Nd Qualifying Round,2018-07-24,GNK Dinamo Zagreb
39,KF Shkëndija 79,FC Sheriff Tiraspol,1,0,2Nd Qualifying Round,2018-07-24,KF Shkëndija 79
40,FK Crvena Zvezda,FK Sūduva Marijampolė,3,0,2Nd Qualifying Round,2018-07-24,FK Crvena Zvezda
41,Legia Warszawa,FC Spartak Trnava,0,2,2Nd Qualifying Round,2018-07-24,FC Spartak Trnava
42,FK BATE Barysaŭ,Helsingin JK,0,0,2Nd Qualifying Round,2018-07-25,Draw
43,FK Kukësi,Qarabağ Ağdam FK,0,0,2Nd Qualifying Round,2018-07-25,Draw
44,PFK Ludogorets 1945 Razgrad,MOL Fehérvár FC,0,0,2Nd Qualifying Round,2018-07-25,Draw
45,AFC Ajax,SK Puntigamer Sturm Graz,2,0,2Nd Qualifying Round,2018-07-25,AFC Ajax
46,Celtic FC,Rosenborg BK,3,1,2Nd Qualifying Round,2018-07-25,Celtic FC
47,Hapoel Be'er Sheva FC,GNK Dinamo Zagreb,2,2,2Nd Qualifying Round,2018-07-31,Draw
48,FC Sheriff Tiraspol,KF Shkëndija 79,0,0,2Nd Qualifying Round,2018-07-31,Draw
49,FC Spartak Trnava,Legia Warszawa,0,1,2Nd Qualifying Round,2018-07-31,Legia Warszawa
50,Helsingin JK,FK BATE Barysaŭ,1,2,2Nd Qualifying Round,2018-08-01,FK BATE Barysaŭ
51,FC Midtjylland,Astana FK,0,0,2Nd Qualifying Round,2018-08-01,Draw
52,Qarabağ Ağdam FK,FK Kukësi,3,0,2Nd Qualifying Round,2018-08-01,Qarabağ Ağdam FK
53,Malmö FF,FC CFR 1907 Cluj,1,1,2Nd Qualifying Round,2018-08-01,Draw
54,FK Sūduva Marijampolė,FK Crvena Zvezda,0,2,2Nd Qualifying Round,2018-08-01,FK Crvena Zvezda
55,FC Basel 1893,PAOK FC,0,3,2Nd Qualifying Round,2018-08-01,PAOK FC
56,MOL Fehérvár FC,PFK Ludogorets 1945 Razgrad,1,0,2Nd Qualifying Round,2018-08-01,MOL Fehérvár FC
57,SK Puntigamer Sturm Graz,AFC Ajax,1,3,2Nd Qualifying Round,2018-08-01,AFC Ajax
58,Rosenborg BK,Celtic FC,0,0,2Nd Qualifying Round,2018-08-01,Draw
59,Astana FK,GNK Dinamo Zagreb,0,2,3Rd Qualifying Round,2018-08-07,GNK Dinamo Zagreb
