,Team,Winning Percentage,Goals for,Goals against,Matches Played
0,FC Santa Coloma,33.33,2.0,4.0,3.0
1,SP La Fiorita,0.0,0.0,2.0,1.0
2,Lincoln Red Imps FC,33.33,3.0,5.0,3.0
3,FC Torpedo Kutaisi,50.0,2.0,4.0,2.0
4,FC Flora,0.0,3.0,8.0,3.0
5,F91 Diddeleng,0.0,5.0,6.0,4.0
6,FC Alashkert,0.0,0.0,6.0,2.0
7,Víkingur Gøta,0.0,2.0,5.0,2.0
8,KF Shkëndija 79,37.5,8.0,10.0,8.0
9,Drita KF Gjilan,50.0,8.0,10.0,6.0
10,Cork City FC,0.0,0.0,4.0,2.0
11,Astana FK,44.44,10.0,13.0,9.0
12,FK Sūduva Marijampolė,12.5,5.0,13.0,8.0
13,FK Spartaks Jūrmala,0.0,0.0,2.0,2.0
14,FC Spartak Trnava,33.33,6.0,5.0,6.0
15,PFK Ludogorets 1945 Razgrad,37.5,15.0,8.0,8.0
16,FK Kukësi,0.0,1.0,4.0,4.0
17,NK Olimpija Ljubljana,0.0,0.0,1.0,2.0
18,KF Valur,25.0,2.0,8.0,4.0
19,Helsingin JK,50.0,13.0,9.0,8.0
20,Valletta FC,0.0,6.0,8.0,6.0
21,APOEL FC,50.0,9.0,7.0,8.0
22,Malmö FF,50.0,8.0,2.0,6.0
23,Hapoel Be'er Sheva FC,50.0,9.0,9.0,4.0
24,The New Saints FC,33.33,7.0,10.0,6.0
25,MOL Fehérvár FC,25.0,7.0,6.0,8.0
26,FK Crvena Zvezda,32.26,37.0,50.0,31.0
27,Crusaders FC,0.0,0.0,9.0,2.0
28,Legia Warszawa,66.67,6.0,4.0,6.0
29,FC Sheriff Tiraspol,37.5,10.0,9.0,8.0
30,Qarabağ Ağdam FK,46.67,19.0,7.0,15.0
31,HŠK Zrinjski Mostar,0.0,1.0,2.0,2.0
32,Rosenborg BK,50.0,20.0,12.0,12.0
33,FK Sutjeska Nikšić,0.0,2.0,9.0,6.0
34,Celtic FC,57.14,34.0,13.0,14.0
35,FC CFR 1907 Cluj,33.33,16.0,14.0,12.0
36,PAOK FC,41.67,21.0,19.0,12.0
37,GNK Dinamo Zagreb,40.0,38.0,24.0,20.0
38,FK BATE Barysaŭ,40.0,11.0,13.0,10.0
39,AFC Ajax,50.0,61.0,34.0,34.0
40,FC Midtjylland,25.0,13.0,16.0,12.0
41,FC Basel 1893,16.67,7.0,14.0,6.0
42,SK Puntigamer Sturm Graz,0.0,1.0,5.0,2.0
43,SK Slavia Praha,16.67,8.0,17.0,12.0
44,Royal Standard de Liège,0.0,2.0,5.0,2.0
45,Sport Lisboa e Benfica,35.29,24.0,27.0,17.0
46,FC Red Bull Salzburg,38.89,37.0,34.0,18.0
47,FK Dynamo Kyiv,33.33,18.0,22.0,15.0
48,FK Spartak Moskva,0.0,2.0,3.0,2.0
